"year","tau","n","qrf","qbart","ratio","coverage_qrf","coverage_qbart"
2021,0.05,215,0.0742044105220044,0.0921039174799683,1.24121890911937,0.0744186046511628,0.0790697674418605
2022,0.05,260,0.0531702858347569,0.067514215250397,1.26977341179279,0.0653846153846154,0.0538461538461538
2023,0.05,260,0.0439029768169092,0.0544189436408108,1.23952742128983,0.0653846153846154,0.0230769230769231
2024,0.05,262,0.0396635452360068,0.0491912826950206,1.24021396479618,0.0687022900763359,0.0381679389312977
2025,0.05,261,0.0292968166556856,0.035097497481983,1.19799696651246,0.0306513409961686,0.0383141762452107
2026,0.05,109,0.0486785461527165,0.0438551393781069,0.90091308891031,0.0458715596330275,0.0458715596330275
2021,0.5,215,0.188379337869542,0.214272738721744,1.13745350814501,0.497674418604651,0.390697674418605
2022,0.5,260,0.192803005821197,0.218094173955796,1.13117621287529,0.55,0.542307692307692
2023,0.5,260,0.127131323797752,0.148831732018751,1.17069285186963,0.488461538461538,0.515384615384615
2024,0.5,262,0.126611797597832,0.154750634850348,1.22224498653669,0.526717557251908,0.49236641221374
2025,0.5,261,0.107853605693389,0.142203651510493,1.318487690757,0.555555555555556,0.567049808429119
2026,0.5,109,0.138024368698012,0.161373307326699,1.16916533543271,0.522935779816514,0.467889908256881
2021,0.95,215,0.0671839248761378,0.0828038828573779,1.23249546688494,0.948837209302326,0.906976744186046
2022,0.95,260,0.0577882178982181,0.0661799379696879,1.14521506938058,0.946153846153846,0.95
2023,0.95,260,0.0341625442731675,0.0412832989068474,1.20843747985342,0.946153846153846,0.969230769230769
2024,0.95,262,0.034450669405864,0.0399986657225066,1.1610417565848,0.927480916030534,0.965648854961832
2025,0.95,261,0.030928044877389,0.0379609577556626,1.22739597365934,0.961685823754789,0.961685823754789
2026,0.95,109,0.0505368179038439,0.0469710399801617,0.929441977718763,0.935779816513762,0.917431192660551
