"k","ntree","sparse","qwcrps_seleccion","qwcrps_izquierda","qwcrps_derecha","crps_plano","rmse_referencia","minutos"
2,200,FALSE,0.066026250985674,0.0840900344952404,0.0789347837937306,0.0865712208096972,0.316402264416478,0.609351082642873
3,100,TRUE,0.0662859181917335,0.0826029816388435,0.0794305461748383,0.085828840173776,0.314372011142048,0.336936835447947
5,200,FALSE,0.0681479078992315,0.0851053372479462,0.0798301654451935,0.0871455668727004,0.313316962819768,0.57396936416626
3,100,FALSE,0.0681818294708401,0.0859505547714427,0.0790445142450966,0.08717399815383,0.315480417286427,0.39179379940033
3,200,TRUE,0.0684786991181663,0.0862610408233897,0.0805529678805351,0.0882835840616691,0.317253435207016,0.540347917874654
3,200,FALSE,0.0689684330966309,0.0863618308985121,0.0803388217329766,0.0880484114339881,0.317467748090017,0.584741632143656
2,50,FALSE,0.0690454724063826,0.086001805705023,0.0805919469882108,0.0879523349670934,0.319179239708175,0.278973201910655
5,200,TRUE,0.06917737477984,0.0863394825417069,0.079919039088781,0.0876868769201426,0.313823537919894,0.560684033234914
2,100,FALSE,0.0692603306384688,0.085901234927162,0.0810922658185032,0.0881473141527247,0.319880630257093,0.375278083483378
5,50,FALSE,0.069585390204543,0.0868216919826356,0.0802245609178809,0.0880761202905252,0.315221108723003,0.258985018730164
2,50,TRUE,0.0698706450481771,0.0865255565232721,0.0810328242181154,0.0883226485093825,0.317581476611552,0.263333936532338
5,100,FALSE,0.0699779695911888,0.0889783304290077,0.0800706674976427,0.0892763652248898,0.316517370801422,0.369039765993754
2,100,TRUE,0.0700097425922087,0.0856630039444938,0.0814911267267292,0.0880090574317897,0.314214917968826,0.340191733837128
1,100,TRUE,0.0705493498958866,0.0864663227048103,0.0829438259055452,0.0893292776122129,0.323541670512013,0.354734635353088
1,100,FALSE,0.0706824443871897,0.0902599708983476,0.0810762319050563,0.0905634160264426,0.32925520429243,0.353851834932963
5,50,TRUE,0.0706836257863403,0.0870659693495413,0.080267998862984,0.0879082144907706,0.312736095793862,0.252713350454966
1,50,TRUE,0.0706888347023768,0.0850595421832148,0.0824536407350531,0.0880253919996747,0.316430028866165,0.242067782084147
1,200,FALSE,0.0711965201579173,0.0880272548830487,0.0830223746623351,0.0902053910135182,0.326980282193303,0.593383351961772
1,200,TRUE,0.0718768193136403,0.0892094179418826,0.0827660180399932,0.0905972782255218,0.326296577806797,0.51441771586736
1,50,FALSE,0.0727601838813686,0.0875284939761326,0.0837425584536331,0.0898414713771642,0.321489231045883,0.340759499867757
2,200,TRUE,0.0730692440055425,0.0932901484781109,0.0825200324869767,0.0927514669983642,0.33435309559436,0.541530001163483
3,50,FALSE,0.0741233317667253,0.0892339374863627,0.0826474687930495,0.0898010444548798,0.311067216059074,0.284645652770996
5,100,TRUE,0.0744180692019901,0.0894965253709658,0.0825926932471571,0.0898426124107047,0.310263534906661,0.339398618539174
3,50,TRUE,0.0751888724868274,0.0884999690994252,0.0855157208078648,0.0908687092928054,0.315279006677203,0.268112818400065
