metodo;qwcrps_colas;qwcrps_izquierda;qwcrps_derecha;crps_plano
random_walk;0.0851531063064618;0.109558231244921;0.106454730619598;0.115471916643354
quantile_reg;0.0810633345898399;0.105143328015512;0.103249545669081;0.111753250244766
quantile_rf;0.0800682309416375;0.10594836541089;0.102032285765305;0.111804876505941
bart;0.101531126094935;0.121555893335072;0.118174273250247;0.12585417597725
