"method","benchmark","tau","statistic","p_value","mean_loss_difference"
"qbart_raw","quantile_rf",0.05,6.84434389155021,7.68271639899469e-12,0.0253420282386212
"qbart_raw","quantile_rf",0.5,9.66997548565471,4.04474955004419e-22,0.0263729911583334
"qbart_raw","quantile_rf",0.95,6.30877508187802,2.81252491168693e-10,0.0195691713004276
"qbart_calibrated","quantile_rf",0.05,4.91788708555141,8.74833473051858e-07,0.0100925095755201
"qbart_calibrated","quantile_rf",0.5,9.61653606674637,6.80854218234962e-22,0.0268234547656394
"qbart_calibrated","quantile_rf",0.95,4.94382154757039,7.66058316432847e-07,0.00752891725809358
