"variable","tau_0.05","tau_0.5","tau_0.95","ratio_tau_0.05_centro","ratio_tau_0.95_centro"
"vix",0.0155720686263796,0.0563432709552976,0.0399422338767909,0.276378498485372,0.708908680656486
"baa10y",0.059847739773431,0.0447700585428581,0.0131303918215331,1.33678046715394,0.293285116189058
"tasa_usa",0.0247513932903508,0.00057527664038442,0.033082506745715,43.0252013601856,57.5071268730956
"nfci",0.0299056569409536,0.0307942201617543,0.0392391593508912,0.971145129958374,1.27423779997603
"yield_to_worst",0.0395949440862565,0.0161077459307638,0.0325504503477369,2.458130656918,2.02079487022263
"tp_1y",0.0185225658397989,0.0220973909512368,0.020028122981036,0.838224108930931,0.906356909973346
"tp_5y",0.0525625614686919,0.00307942201617543,0.030118192528408,17.0689698237507,9.78046931216467
"tp_10y",0.0456962809164754,0.0492369124564313,0.0478850758180367,0.928089895094684,0.972544244329074
"embig_peru",0.0124394419553419,0.0208114784609658,0.015638657697716,0.597720242637898,0.751443859553178
"diff_tasas",0.0717772192474411,0.0328584481066631,0.0452247938281458,2.18443728731321,1.3763520931159
"interv_bcrp",0.0518886824755036,0.00795235355825522,0.0402272640899935,6.52494662056854,5.05853566435489
"d_rin",0.035952354933887,0.0215221143108524,0.0273248964390225,1.67048434064669,1.26961951992068
"d_oro",0.0183768622737042,0.059422692971473,0.0495762550830388,0.309256638411293,0.83429835646861
"d_cobre",0.00917932466397115,0.0210821968799702,0.031619351651275,0.435406457696648,1.49981293843793
"d_zinc",0.00917932466397115,0.00785083415112856,0.0136054421768707,1.16921647907333,1.73299319727891
"d_plata",0.0141696718027174,0.0587797367263375,0.0349257021244252,0.241063886840588,0.594179288128318
"d_wti",0.0364623174152187,0.0509627423775845,0.0236575076958158,0.715470080967549,0.464211825975466
"d_spx",0.0201617309583652,0.0307265405570031,0.0185079618439555,0.656166642676927,0.602344471862035
"d_mxef",0.0258259570902998,0.0333998849446719,0.0404742902747691,0.773234911829229,1.21180927245157
"d_dxy",0.0690817032746876,0.021555954113228,0.0279709649222818,3.20476203056561,1.29759809170855
"d_jpy",0.0364441044694569,0.0382728164867517,0.0431725762930871,0.952219037291707,1.12802192929886
"d_chf",0.048373583943467,0.00541436838008866,0.0192110363698552,8.93429861945871,3.54815834853494
"d_eur",0.0100899719520635,0.0321139724544009,0.0045794854254551,0.314192582882433,0.142601026140805
"d_gbp",0.0296871015918115,0.0309972589760076,0.0338615893284688,0.957733121331463,1.09240592384889
"d_clp",0.0310348595781882,0.0154647896856282,0.0474290274769125,2.00680773609418,3.06690413779047
"d_cop",0.0440024769606236,0.0174951778281615,0.081765667160719,2.51512030302396,4.67361166395824
"d_mxn",0.0366808727643609,0.0621637169638929,0.0159806939535591,0.590068846521301,0.257074298868603
"d_brl",0.0158634757585692,0.0207099590538391,0.0247406225059856,0.765982961015487,1.1946244046967
"d_cny",0.0360798455542199,0.0623667557781463,0.00982404134838293,0.578510860538662,0.157520480676106
"retorno_tc",0.0507959057297927,0.125071909580048,0.0947060388401171,0.406133606661554,0.757212703940557
