"method","tau","kupiec_statistic","kupiec_p_value","dq_statistic","dq_p_value"
"random_walk",0.05,32.668347782157,1.09302740270049e-08,129.99079259081,2.39072437082947e-26
"random_walk",0.5,5.04260352480082,0.0247312940541408,22.0497510187973,0.000512317818693218
"random_walk",0.95,18.8273160908557,1.43102877253218e-05,133.246381447339,4.86921141656999e-27
"quantile_reg",0.05,5.47320137242252,0.0193102220644828,9.53033320374687,0.0896908125744093
"quantile_reg",0.5,0.0358450725273087,0.849835790776817,12.4922069650643,0.0286316681356889
"quantile_reg",0.95,4.94950597212016,0.0260981251448584,19.2031601084117,0.00176162560860418
"quantile_rf",0.05,2.33245407352001,0.126701989622136,10.976768260741,0.0518425510278706
"quantile_rf",0.5,3.28514922405543,0.0699092731458115,6.91576443345401,0.226980777223426
"quantile_rf",0.95,0.661093498839477,0.41617416233654,8.1342408765804,0.148990882604198
"qbart_raw",0.05,234.689669166776,5.65780194227638e-53,373.416196089839,1.58597457423441e-78
"qbart_raw",0.5,0.796712359820731,0.372078141222313,11.4665252865814,0.0428757969498291
"qbart_raw",0.95,211.658908802451,5.96960429991944e-48,336.960378130817,1.12209970374132e-70
"qbart_calibrated",0.05,0.640108979746913,0.423671336781567,20.2281973543981,0.00113229590536504
"qbart_calibrated",0.5,0.0358450725273087,0.849835790776817,10.1627795441494,0.0707521780252382
"qbart_calibrated",0.95,0.00648730911132134,0.935804735379479,30.9131439296576,9.74448347047297e-06
