"kappa","m","pinball_prom","pinball_tau_0.05","pinball_tau_0.5","pinball_tau_0.95","minutos"
1,50,0.0611797274370076,0.0369837730838896,0.107264795302773,0.0392906139243605,2.40696214834849
1,100,0.0620164450343862,0.0387181920123581,0.110872671414803,0.0364584716759976,4.57521750132243
2,50,0.0626901915592431,0.0424657987028939,0.107840617313107,0.0377641586617284,2.48627133369446
2,100,0.0629242043806289,0.0399104456961107,0.111923101259248,0.0369390661865285,4.52578438520432
3,100,0.0630697709274861,0.0436740593901257,0.10941291629823,0.0361223370941022,4.57521583636602
3,50,0.0646926512676917,0.0411734806825634,0.10994608135195,0.0429583917685613,2.35751026471456
